name,lat,lng,type,size,Primary Market,Airing,Initial support from the Corporation for Public Broadcasting,PRX Dovetail hosts,Testimonial,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25,Shows
WRJA-FM:,34.0008322,-81.035147,broadcast,xlarge,"Columbia, SC","Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge",,,,,,,,,,,,,13
WNSC-FM:,35.0711894,-80.7769706,broadcast,xlarge,"Rock Hill/Charlotte, SC","Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge",,,,,,,,,,,,,13
WLJK-FM:,33.4923509,-81.9714545,broadcast,xlarge,"Aiken/Augusta, SC","Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge",,,,,,,,,,,,,13
WJWJ-FM:,32.216316,-80.752608,broadcast,xlarge,"Beaufort/Hilton Head, SC","Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge",,,,,,,,,,,,,13
WHMC-FM:,33.8360034,-79.0478143,broadcast,xlarge,"Conway/Myrtle Beach, SC","Embodied | Jazz Happening Now | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | The Ezra Klein Show | The World | Think | This American Life | To the Best of Our Knowledge",,,,,,,,,,,,,13
KALW-FM:,37.7749295,-122.4194155,broadcast,xlarge,"San Francisco, CA","Afropop Worldwide | Latino USA | Left, Right & Center | Living On Earth | PRX Remix | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | This American Life | To the Best of Our Knowledge",,,,,,,,,,,,,11
KJZZ-FM:,33.4482266,-112.0776781,broadcast,xlarge,"Phoenix, AZ","Embodied | Latino USA | Left, Right & Center | Live Wire | Christopher Kimball's Milk Street Radio | No Small Endeavor | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life",,,,,,,,,,,,,11
KUTU-FM:,37.0965278,-113.5684164,broadcast,xlarge,"St George, UT",Afropop Worldwide | Embodied | Latino USA | PRX Remix | PRX Remix | Reveal | Snap Judgment | Sound Opinions | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,11
WYPR-FM:,39.2905023,-76.6104072,broadcast,xlarge,"Baltimore, MD","Embodied | Latino USA | Left, Right & Center | Live Wire | Living On Earth | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think",,,,,,,,,,,,,11
WYPO-FM:,38.3345422,-75.0846016,broadcast,xlarge,"Ocean City, MD","Embodied | Latino USA | Left, Right & Center | Live Wire | Living On Earth | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think",,,,,,,,,,,,,11
WYPF-FM:,39.4142688,-77.4105409,broadcast,xlarge,"Frederick, MD","Embodied | Latino USA | Left, Right & Center | Live Wire | Living On Earth | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think",,,,,,,,,,,,,11
